Anno Acc.;Immatricolati;Iscritti
2020/2021;304375;
2019/2020;309158;1730563
2018/2019;299467;1720674
2017/2018;294156;1692568
2016/2017;290281;1665549
2015/2016;276123;1648374
2014/2015;270697;1663325
2013/2014;269637;1685460
2012/2013;270121;1720650
2011/2012;280228;1771768
2010/2011;288974;1815592
2009/2010;293149;1799270
2008/2009;294932;1812261
2007/2008;307586;1809499
2006/2007;308185;1810101
2005/2006;323930;1823748
2004/2005;331893;1820221
2003/2004;338036;1814048
2002/2003;330802;1768295
2001/2002;319264;1722457
2000/2001;284142;1688804
1999/2000;278379;1673960
1998/1999;278939;1715727
